emoji,codepoint,occurrences,negative,neutral,positive,name,block,primary_emotion
😀,0x1f600,1000,50,50,900,GRINNING FACE,Smileys & Emotion,Amusement
😃,0x1f603,1000,50,50,900,GRINNING FACE WITH BIG EYES,Smileys & Emotion,Amusement
😄,0x1f604,1000,50,50,900,GRINNING FACE WITH SMILING EYES,Smileys & Emotion,Amusement
😁,0x1f601,1000,50,150,800,BEAMING FACE WITH SMILING EYES,Smileys & Emotion,Joy
😆,0x1f606,1000,50,50,900,GRINNING SQUINTING FACE,Smileys & Emotion,Amusement
😅,0x1f605,1000,50,50,900,GRINNING FACE WITH SWEAT,Smileys & Emotion,Amusement
🤣,0x1f923,1000,50,50,900,ROLLING ON THE FLOOR LAUGHING,Smileys & Emotion,Amusement
😂,0x1f602,1000,50,50,900,FACE WITH TEARS OF JOY,Smileys & Emotion,Amusement
🙂,0x1f642,1000,50,150,800,SLIGHTLY SMILING FACE,Smileys & Emotion,Joy
🙃,0x1f643,1000,50,150,800,UPSIDE-DOWN FACE,Smileys & Emotion,Joy
🫠,0x1fae0,1000,50,150,800,MELTING FACE,Smileys & Emotion,Joy
😉,0x1f609,1000,50,150,800,WINKING FACE,Smileys & Emotion,Joy
😊,0x1f60a,1000,50,150,800,SMILING FACE WITH SMILING EYES,Smileys & Emotion,Joy
😇,0x1f607,1000,50,150,800,SMILING FACE WITH HALO,Smileys & Emotion,Joy
🥰,0x1f970,1000,20,30,950,SMILING FACE WITH HEARTS,Smileys & Emotion,Love
😍,0x1f60d,1000,20,30,950,SMILING FACE WITH HEART-EYES,Smileys & Emotion,Love
🤩,0x1f929,1000,30,50,920,STAR-STRUCK,Smileys & Emotion,Excitement
😘,0x1f618,1000,20,30,950,FACE BLOWING A KISS,Smileys & Emotion,Love
😗,0x1f617,1000,20,30,950,KISSING FACE,Smileys & Emotion,Love
☺️,0x263a 0xfe0f,1000,50,150,800,SMILING FACE,Smileys & Emotion,Joy
😚,0x1f61a,1000,20,30,950,KISSING FACE WITH CLOSED EYES,Smileys & Emotion,Love
😙,0x1f619,1000,20,30,950,KISSING FACE WITH SMILING EYES,Smileys & Emotion,Love
🥲,0x1f972,1000,700,200,100,SMILING FACE WITH TEAR,Smileys & Emotion,Sadness
😋,0x1f60b,1000,50,150,800,FACE SAVORING FOOD,Smileys & Emotion,Joy
😛,0x1f61b,1000,50,150,800,FACE WITH TONGUE,Smileys & Emotion,Joy
😜,0x1f61c,1000,50,150,800,WINKING FACE WITH TONGUE,Smileys & Emotion,Joy
🤪,0x1f92a,1000,50,150,800,ZANY FACE,Smileys & Emotion,Joy
😝,0x1f61d,1000,50,150,800,SQUINTING FACE WITH TONGUE,Smileys & Emotion,Joy
🤑,0x1f911,1000,50,150,800,MONEY-MOUTH FACE,Smileys & Emotion,Joy
🤗,0x1f917,1000,50,150,800,SMILING FACE WITH OPEN HANDS,Smileys & Emotion,Joy
🤭,0x1f92d,1000,50,150,800,FACE WITH HAND OVER MOUTH,Smileys & Emotion,Joy
🫢,0x1fae2,1000,50,150,800,FACE WITH OPEN EYES AND HAND OVER MOUTH,Smileys & Emotion,Joy
🫣,0x1fae3,1000,50,150,800,FACE WITH PEEKING EYE,Smileys & Emotion,Joy
🤫,0x1f92b,1000,50,150,800,SHUSHING FACE,Smileys & Emotion,Joy
🤔,0x1f914,1000,50,350,600,THINKING FACE,Smileys & Emotion,Curiosity
🫡,0x1fae1,1000,50,150,800,SALUTING FACE,Smileys & Emotion,Joy
🤐,0x1f910,1000,50,150,800,ZIPPER-MOUTH FACE,Smileys & Emotion,Joy
🤨,0x1f928,1000,50,150,800,FACE WITH RAISED EYEBROW,Smileys & Emotion,Joy
😐,0x1f610,1000,50,150,800,NEUTRAL FACE,Smileys & Emotion,Joy
😑,0x1f611,1000,50,150,800,EXPRESSIONLESS FACE,Smileys & Emotion,Joy
😶,0x1f636,1000,50,150,800,FACE WITHOUT MOUTH,Smileys & Emotion,Joy
🫥,0x1fae5,1000,50,150,800,DOTTED LINE FACE,Smileys & Emotion,Joy
😶‍🌫️,0x1f636 0x200d 0x1f32b 0xfe0f,1000,50,150,800,FACE IN CLOUDS,Smileys & Emotion,Joy
😏,0x1f60f,1000,50,150,800,SMIRKING FACE,Smileys & Emotion,Joy
😒,0x1f612,1000,50,150,800,UNAMUSED FACE,Smileys & Emotion,Joy
🙄,0x1f644,1000,50,150,800,FACE WITH ROLLING EYES,Smileys & Emotion,Joy
😬,0x1f62c,1000,50,150,800,GRIMACING FACE,Smileys & Emotion,Joy
😮‍💨,0x1f62e 0x200d 0x1f4a8,1000,50,150,800,FACE EXHALING,Smileys & Emotion,Joy
🤥,0x1f925,1000,50,150,800,LYING FACE,Smileys & Emotion,Joy
🫨,0x1fae8,1000,50,150,800,SHAKING FACE,Smileys & Emotion,Joy
😌,0x1f60c,1000,50,150,800,RELIEVED FACE,Smileys & Emotion,Joy
😔,0x1f614,1000,50,150,800,PENSIVE FACE,Smileys & Emotion,Joy
😪,0x1f62a,1000,300,500,200,SLEEPY FACE,Smileys & Emotion,Annoyance
🤤,0x1f924,1000,50,150,800,DROOLING FACE,Smileys & Emotion,Joy
😴,0x1f634,1000,300,500,200,SLEEPING FACE,Smileys & Emotion,Annoyance
😷,0x1f637,1000,50,150,800,FACE WITH MEDICAL MASK,Smileys & Emotion,Joy
🤒,0x1f912,1000,50,150,800,FACE WITH THERMOMETER,Smileys & Emotion,Joy
🤕,0x1f915,1000,50,150,800,FACE WITH HEAD-BANDAGE,Smileys & Emotion,Joy
🤢,0x1f922,1000,850,100,50,NAUSEATED FACE,Smileys & Emotion,Disgust
🤮,0x1f92e,1000,850,100,50,FACE VOMITING,Smileys & Emotion,Disgust
🤧,0x1f927,1000,50,150,800,SNEEZING FACE,Smileys & Emotion,Joy
🥵,0x1f975,1000,50,150,800,HOT FACE,Smileys & Emotion,Joy
🥶,0x1f976,1000,50,150,800,COLD FACE,Smileys & Emotion,Joy
🥴,0x1f974,1000,50,150,800,WOOZY FACE,Smileys & Emotion,Joy
😵,0x1f635,1000,50,150,800,FACE WITH CROSSED-OUT EYES,Smileys & Emotion,Joy
😵‍💫,0x1f635 0x200d 0x1f4ab,1000,50,150,800,FACE WITH SPIRAL EYES,Smileys & Emotion,Joy
🤯,0x1f92f,1000,50,150,800,EXPLODING HEAD,Smileys & Emotion,Joy
🤠,0x1f920,1000,50,150,800,COWBOY HAT FACE,Smileys & Emotion,Joy
🥳,0x1f973,1000,30,50,920,PARTYING FACE,Smileys & Emotion,Excitement
🥸,0x1f978,1000,50,150,800,DISGUISED FACE,Smileys & Emotion,Joy
😎,0x1f60e,1000,20,50,930,SMILING FACE WITH SUNGLASSES,Smileys & Emotion,Optimism
🤓,0x1f913,1000,50,150,800,NERD FACE,Smileys & Emotion,Joy
🧐,0x1f9d0,1000,50,350,600,FACE WITH MONOCLE,Smileys & Emotion,Curiosity
😕,0x1f615,1000,50,150,800,CONFUSED FACE,Smileys & Emotion,Joy
🫤,0x1fae4,1000,50,150,800,FACE WITH DIAGONAL MOUTH,Smileys & Emotion,Joy
😟,0x1f61f,1000,50,150,800,WORRIED FACE,Smileys & Emotion,Joy
🙁,0x1f641,1000,50,150,800,SLIGHTLY FROWNING FACE,Smileys & Emotion,Joy
☹️,0x2639 0xfe0f,1000,50,150,800,FROWNING FACE,Smileys & Emotion,Joy
😮,0x1f62e,1000,50,150,800,FACE WITH OPEN MOUTH,Smileys & Emotion,Joy
😯,0x1f62f,1000,50,150,800,HUSHED FACE,Smileys & Emotion,Joy
😲,0x1f632,1000,50,150,800,ASTONISHED FACE,Smileys & Emotion,Joy
😳,0x1f633,1000,50,150,800,FLUSHED FACE,Smileys & Emotion,Joy
🥺,0x1f97a,1000,150,150,700,PLEADING FACE,Smileys & Emotion,Remorse
🥹,0x1f979,1000,700,200,100,FACE HOLDING BACK TEARS,Smileys & Emotion,Sadness
😦,0x1f626,1000,50,150,800,FROWNING FACE WITH OPEN MOUTH,Smileys & Emotion,Joy
😧,0x1f627,1000,50,150,800,ANGUISHED FACE,Smileys & Emotion,Joy
😨,0x1f628,1000,700,200,100,FEARFUL FACE,Smileys & Emotion,Fear
😰,0x1f630,1000,50,150,800,ANXIOUS FACE WITH SWEAT,Smileys & Emotion,Joy
😥,0x1f625,1000,700,200,100,SAD BUT RELIEVED FACE,Smileys & Emotion,Sadness
😢,0x1f622,1000,700,200,100,CRYING FACE,Smileys & Emotion,Sadness
😭,0x1f62d,1000,700,200,100,LOUDLY CRYING FACE,Smileys & Emotion,Sadness
😱,0x1f631,1000,700,200,100,FACE SCREAMING IN FEAR,Smileys & Emotion,Fear
😖,0x1f616,1000,50,150,800,CONFOUNDED FACE,Smileys & Emotion,Joy
